what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1282548695016
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1282548695016
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1282548695048
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1282548695057
started,bundle,org.eclipse.pde,3.6.0.v201006080911,"org.eclipse.pde",1282548695058
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1282548695084
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1282548695090
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1282548695130
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1282548695143
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1282548695155
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1282548695232
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1282548695239
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1282548695279
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1282548695291
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1282548695293
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1282548695317
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1282548695327
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1282548695329
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1282548695391
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1282548695415
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1282548695428
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1282548695434
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1282548695448
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1282548695474
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1282548695476
started,bundle,org.eclipse.jet.ui,1.0.0.v200906120900,"org.eclipse.jet.ui",1282548695500
started,bundle,org.eclipse.egit.core,0.9.0.201008112114,"org.eclipse.egit.core",1282548695508
started,bundle,org.eclipse.egit.ui,0.9.0.201008112114,"org.eclipse.egit.ui",1282548695518
started,bundle,org.eclipse.jgit,0.9.0.201008111758,"org.eclipse.jgit",1282548695519
started,bundle,org.eclipse.team.svn.core,0.7.9.I20100512-1900,"org.eclipse.team.svn.core",1282548695531
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui",1282548695541
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1282548695550
os,sysinfo,,,"linux",1282548695557
arch,sysinfo,,,"x86",1282548695557
ws,sysinfo,,,"gtk",1282548695557
locale,sysinfo,,,"en_US",1282548695557
processors,sysinfo,,,"2",1282548695558
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1282548695558
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1282548695558
java.specification.name,sysinfo,,,"Java Platform API Specification",1282548695558
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1282548695558
java.specification.version,sysinfo,,,"1.6",1282548695558
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1282548695558
java.version,sysinfo,,,"1.6.0_18",1282548695558
java.vm.info,sysinfo,,,"mixed mode, sharing",1282548695558
java.vm.name,sysinfo,,,"OpenJDK Client VM",1282548695558
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1282548695558
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1282548695558
java.vm.specification.version,sysinfo,,,"1.0",1282548695558
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1282548695558
java.vm.version,sysinfo,,,"16.0-b13",1282548695558
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282548695664
activated,view,org.eclipse.team.svn.ui,0.7.9.I20100512-1900,"org.eclipse.team.svn.ui.repository.RepositoriesView",1282548695719
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1282548695908
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20100512-1900,"org.eclipse.team.svn.mylyn",1282548695964
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1282548696800
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1282548697572
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1282548697591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1282548698995
